Panevėžys;Vasario 16-osios g. 55;;;;;;;;;;;;
Kaunas;A. Juozapavičiaus pr. 84;;;;;;;;;;;;
Jonučiai;Atgimimo g. 1;;;;;;;;;;;;
Kaunas;Sukilėlių pr. 84;;;;;;;;;;;;
Vilnius;Kalvarijų g. 151;;;;;;;;;;;;
Vilnius;Pavilnionių g. 22;;;;;;;;;;;;
Vilnius;Saulėtekio al. 43;;;;;;;;;;;;
Lentvaris;Geležinkelio g. 38;;;;;;;;;;;;
Šiauliai;Pramonės g. 6 ;;;;;;;;;;;;
Raudondvaris;J. Naujalio g. 20B;;;;;;;;;;;;
Ramučiai;Centrinė g. 56;;;;;;;;;;;;
Slengiai;Dangaus g. 34;;;;;;;;;;;;
Slengiai;Žaliakelio g. 1;;;;;;;;;;;;
Mažeikiai;Ventos g. 10b;;;;;;;;;;;;
Alytus;Pulko g. 51A;;;;;;;;;;;;
Kaunas;Savanorių pr. 346;;;;;;;;;;;;
Klaipėda;Šilutės pl. 35;;;;;;;;;;;;
Klaipėda;Taikos pr. 61;;;;;;;;;;;;
Utena;Aušros g. 78;;;;;;;;;;;;
Kaunas;Jotvingių g. 15;;;;;;;;;;;;
Vilnius;Lazdynėlių g. 23;;;;;;;;;;;;
Vilnius;Ozo g. 25;;;;;;;;;;;;
Kaunas;Karaliaus Mindaugo pr. 49;;;;;;;;;;;;
Klaipėda;Šiaurės pr. 15;;;;;;;;;;;;
Kaunas;K. Petrausko g. 6;;;;;;;;;;;;
Kaunas;Romainių g. 67c;;;;;;;;;;;;
Plungė;Laisvės g. 5;;;;;;;;;;;;
Ukmergė;Žiedo g. 1;;;;;;;;;;;;
Kėdainiai;J. Basanavičiaus g. 93;;;;;;;;;;;;
Kaunas;Kovo 11-osios g. 22;;;;;;;;;;;;
Alytus;Santaikos g. 34G;;;;;;;;;;;;
Vilnius;Naugarduko g. 84;;;;;;;;;;;;
Vilnius;Santaros g. 5;;;;;;;;;;;;
Klaipėda;Nidos g. 1;;;;;;;;;;;;
Akademija;Varžupio g. 1;;;;;;;;;;;;
Kupiškis;Gedimino g. 53N;;;;;;;;;;;;
Panevėžys;Ragaudžių g. 2;;;;;;;;;;;;
Panevėžys;Smėlynės g. 85;;;;;;;;;;;;
Vilnius;Taikos g. 162A;;;;;;;;;;;;
Vilnius;Jeruzalės g. 4;;;;;;;;;;;;
Kaunas;Pramonės pr. 16;;;;;;;;;;;;
Vilnius;Vaivadiškių g. 2;;;;;;;;;;;;
Šiauliai;Tilžės g. 13A;;;;;;;;;;;;
Šiauliai;Vilties g. 1, Dainų k., Šiaulių r. ;;;;;;;;;;;;
Kaunas;Taikos pr. 31A;;;;;;;;;;;;
Tauragė;Šilalės g. 87C;;;;;;;;;;;;
Vilnius;Šiaurės g. 37;;;;;;;;;;;;
Kaunas;Didžioji g. 98;;;;;;;;;;;;
Vilnius;Bajorų kl. 4;;;;;;;;;;;;
Pagiriai;Durpių g. 40;;;;;;;;;;;;
Rudamina;Gamyklos g. 26;;;;;;;;;;;;
Panevėžys;Dariaus ir Girėno g. 2;;;;;;;;;;;;
Telšiai;Plungės g. 4;;;;;;;;;;;;
Jonava;Vasario 16-osios g. 4;;;;;;;;;;;;
Marijampolė;Vilkaviškio g. 72A;;;;;;;;;;;;
Marijampolė;Vytauto g. 48A;;;;;;;;;;;;
Palanga;Klaipėdos pl. 42;;;;;;;;;;;;
Šiauliai;M. Valančiaus g. 18;;;;;;;;;;;;
Klaipėda;Liepų g. 81;;;;;;;;;;;;
Vilnius;Žirmūnų g. 106E;;;;;;;;;;;;
Baisogala;Maironio g. 44;;;;;;;;;;;;
Pagėgiai;Vilniaus g. 18A;;;;;;;;;;;;
Švenčionėliai;Žemutinė g. 26;;;;;;;;;;;;
Visaginas;Draugystės g. 9;;;;;;;;;;;;
Elektrėnai;Sabališkių g. 1J;;;;;;;;;;;;
Kaunas;"Raudondvario pl. 284A
";;;;;;;;;;;;
Šiauliai;Gumbinės g. 145A ;;;;;;;;;;;;
Kaunas;"T. Masiulio g. 16e
";;;;;;;;;;;;
Ignalina;Taikos g. 11;;;;;;;;;;;;
Zarasai;Bukonto g. 7;;;;;;;;;;;;
Druskininkai;Veisiejų g. 31;;;;;;;;;;;;
Vilnius;Nemenčinės pl. 33;;;;;;;;;;;;
Vilnius;Vikingų g. 3;;;;;;;;;;;;
Kaunas;Jonavos g. 3;;;;;;;;;;;;
Vilnius;P. Žvirkos g. 1;;;;;;;;;;;;
Lazdijai;Vilniaus g.13A ;;;;;;;;;;;;
Kazlų Rūda;M.Valančiaus g. 7;;;;;;;;;;;;
Kėdainiai;S.Dariaus ir S.Girėno g. 50A;;;;;;;;;;;;
Molėtai;Sakalo g. 1;;;;;;;;;;;;
Birštonas;Sruogos g. 25;;;;;;;;;;;;
Utena;J.Basanavičiaus g. 108B;;;;;;;;;;;;
Užubaliai;Senasis Ukmergės kl. 46A;;;;;;;;;;;;
Jonava;Chemikų g. 2;;;;;;;;;;;;
Vilnius;Gilužio g. 5;;;;;;;;;;;;
Gargždai;Klaipėdos g. 60;;;;;;;;;;;;
Vilnius;S. Stanevičiaus g. 23;;;;;;;;;;;;
Rietavas;Plungės g. 2;;;;;;;;;;;;
Klaipėda;Vingio g. 31;;;;;;;;;;;;
Kaunas;Vandžiogalos pl. 112;;;;;;;;;;;;
Anykščiai;Žiburio g. 12;;;;;;;;;;;;
Kaunas;Studentų g. 19;;;;;;;;;;;;
Joniškis;Vilniaus g. 47B;;;;;;;;;;;;
Pasvalys;Ežero g. 1;;;;;;;;;;;;
Pabradė;Molėtų g. 4A;;;;;;;;;;;;
Vilnius;Konstitucijos pr. 21C;;;;;;;;;;;;
Klaipėda;Tilžės g. 56A;;;;;;;;;;;;
Šeduva;Laisvės a. 21;;;;;;;;;;;;
Radviliškis;Taikos g. 9;;;;;;;;;;;;
Kaunas;Taikos pr. 81;;;;;;;;;;;;
Vilnius;A. P. Kavoliuko g. 6;;;;;;;;;;;;
Kaišiadorys;Gedimino g. 140;;;;;;;;;;;;
Vievis;Šviesos skg. 2;;;;;;;;;;;;
Nemenčinė;Vilijos g. 2;;;;;;;;;;;;
Avižieniai;Saulės g. 1 ;;;;;;;;;;;;
Kaunas;Šiltnamių g. 19;;;;;;;;;;;;
Vilkaviškis;S. Neries g. 4;;;;;;;;;;;;
Vilnius;Moravų g. 7;;;;;;;;;;;;
Vilnius;J. Tiškevičiaus g. 22;;;;;;;;;;;;
Šakiai;V. Kudirkos g. 91;;;;;;;;;;;;
Galgiai;Centrinė g. 36;;;;;;;;;;;;
