Kaunas;IKI;J. Naujalio g. 20B, Raudondvaris
Klaipėda;Akropolis;Taikos pr. 61
Klaipėda;Maxima XX;Liepojos g. 10
Klaipėda;Banginis;Šilutės pl. 35
Klaipėda;BIG2;Taikos pr. 141
Klaipėda;Circle K;Sausio 15-osios g. 1A / 2A
Klaipėda;Maxima X;H. Manto g. 11
Klaipėda;IKI Žardė;Taikos pr. 115
Klaipėda;IKI Tauralaukis;Liepojos g. 238
Klaipėda;IKI Naikupė;Nidos g. 5
Klaipėda;Norfa XL;Vingio g. 21A
Klaipėda;Maxima XX;Šilutės pl. 68
Klaipėda;Senukai;Liepų g. 81
Klaipėda;Rimi;Dangaus g. 34, Slengiai
Klaipėda;Rimi;Nidos g. 1, Dercekliai
Klaipėda;Rimi;Šilutės pl. 62
Šiauliai;Akropolis;Aido g. 8
Šiauliai;Circle K;Dubijos g. 20A
Šiauliai;PC Tilžė;Tilžės g. 225
Šiauliai;IKI Dainai;Gardino g. 2
Šiauliai;Norfa XL;M. Valančiaus g. 18
Šiauliai;IKI;Lyros g. 19A
Šiauliai;PC Tau;Birutės g. 37
Panevėžys;Maxima XX;Klaipėdos g. 92
Panevėžys;Maxima XX;Respublikos g. 71
Panevėžys;IKI Basanavičiaus;Ukmergės g. 18
Panevėžys;Babilonas;Klaipėdos g. 143A
Panevėžys;Norfa XL;Smėlynės g. 85
Panevėžys;Vasaris;Aukštaičių g. 88
Akmenė;Lietuvos paštas;K. Kasanausko g. 7
Akmenė;Norfa;Plento g. 2A, Venta
Alytus;Maxima XX;Santaikos g. 34G
Alytus;Maxima XX;Naujoji g. 90
Alytus;Norfa;Topolių g. 1
Anykščiai;Norfa XL;Žiburio g. 12
Babtai;UAB Baltasis Kampas;Kauno g. 2C
Biržai;Maxima X;Vabalninko g. 8a
Biržai;IKI;Vytauto g. 27
Didžioji Riešė;IKI Riešė;Molėtų g. 13
Druskininkai;PC Aidas;M. K. Čiurlionio g. 50
Druskininkai;PC Malonė;M. K. Čiurlionio g. 107
Elektrėnai;Maxima XX;Rungos g. 4
Elektrėnai;Lietuvos paštas;Trakų g. 4
Gargždai;Maxima XX;Klaipėdos g. 37
Garliava;IKI Garliava;Vytauto g. 67
Grigiškės;Maxima XX;Kovo 11-osios g. 38B
Ignalina;Maxima XX;Taikos g. 11
Jašiūnai;Lietuvos paštas;M. Balinsko g. 2
Jonava;Norfa XL;Chemikų g. 2
Joniškis;Maxima X;Upytės g. 19
Jurbarkas;Maxima XX;Algirdo g. 1A
Kaišiadorys;Maxima X;Gedimino g. 110
Kalvarija;Lietuvos paštas;Laisvės g. 1
Kazlų Rūda;Lietuvos paštas;J. Basanavičiaus g. 6A
Kelmė;NORFA XL;S. Šilingo g. 5
Kėdainiai;Maxima XX;J. Basanavičiaus g. 53
Kėdainiai;IKI;Gegučių g. 13
Kybartai;NORFA;Vištyčio g. 40
Kretinga;Maxima X;Žemaitės al. 29
Kupiškis;Maxima XX;Gedimino g. 53N
Kuršėnai;Norfa;Vilniaus g. 2
Lazdijai;Viešoji biblioteka;Seinų g. 1
Lazdijai;Norfa;Dzūkų g. 3
Lentvaris;IKI;Geležinkelio g. 38
Lentvaris;Norfa;Klevų al. 4
Marijampolė;Maxima XXX;V. Kudirkos g. 3
Marijampolė;Maxima X;Sporto g. 16
Marijampolė;Maxima XX;Bažnyčios g. 38
Mastaičiai;Aibė;Mokslo g. 11
Mažeikiai;Maxima XX;Laisvės g. 56
Mažeikiai;Maxima XX;Žemaitijos g. 20
Mažeikiai;IKI;Ventos g. 10B
Mickūnai;Lietuvos paštas;Vilniaus g. 15
Molėtai;Lietuvos paštas;Vilniaus g. 43
Naujoji Akmenė;Maxima XX;V. Kudirkos g. 18
Nemenčinė;Norfa;Vilijos g. 2
Nemėžio k.;Lietuvos paštas;V.Sirokomlės g. 4
Pagėgiai;Norfa;Vilniaus g. 18A
Pakruojis;Lietuvos paštas;Vytauto Didžiojo g. 17
Palanga;Maxima X;Plytų g. 9a
Palanga;Lietuvos paštas;Klaipėdos pl. 62A
Pasvalys;Maxima X;Vilniaus g. 48
Plungė;Maxima XX;J.Tumo-Vaižganto g. 81
Plungė;IKI;Laisvės g. 5
Prienai;Maxima X;Kauno g. 34
Radviliškis;Maxima XX;Gedimino g. 42A
Radviliškis;PC Gausa;Maironio g. 44, Baisiogala
Radviliškis;Norfa;Taikos g. 9
Raseiniai;Maxima XX;Vilniaus g. 93
Rietavas;Lietuvos paštas;Plungės g. 21
Riešė;Maxima;Beržų g. 2E
Rokiškis;Maxima XX;Respublikos g. 111B
Rukla;Norfa XL;Karaliaus Mindaugo g. 10
Rūdiškiai;Norfa;Paluknės g. 1
Skuodas;Lietuvos paštas;Gedimino g. 6
Šakiai;Maxima X;V. Kudirkos g. 66
Šeduva;Norfa;Panevėžio g. 33
Šilalė;Maxima X;S. Dariaus ir S. Girėno g. 12
Šilutė;IKI;Lietuvininkų g. 39
Švenčionys;Lietuvos paštas;Vilniaus g. 18
Švenčionys;Norfa;Molėtų g. 4, Pabradė
Švenčionėliai;Norfa XL;Žemutinė g. 26
Tauragė;Norfa XL;Bernotiškės g. 3
Tauragė;Norfa XL;Šilalės g. 87C
Tauragė;Lietuvos paštas;S. Dariaus ir S. Girėno g. 16
Telšiai;Rimi;Plungės g. 4
